FID,Id,ORIG_FID,x,y,elevation,basin
171,0,0,1378903.723530000100000,1132072.309429999900000,3772.3500977,15683
172,0,0,1379046.952409999900000,1132065.799020000000000,3793.9199219,15683
173,0,0,1379270.476270000000000,1132100.521170000100000,3835.5000000,15683
174,0,0,1379394.173939999900000,1132113.541980000000000,3847.6699219,15683
175,0,0,1379571.039900000000000,1132197.092160000000000,3858.6298828,15683
176,0,0,1379751.161069999900000,1132242.664990000000000,3871.0400391,15683
177,0,0,1379947.558250000000000,1132352.256779999900000,3898.3701172,15683
178,0,0,1380152.635960000100000,1132419.530950000000000,3966.1799316,15683
179,0,0,1380270.908289999900000,1132505.251269999900000,3984.0500488,15683
180,0,0,1380373.989680000100000,1132653.905480000000000,4009.2900391,15683
181,0,0,1380449.944390000100000,1132816.665580000000000,4041.3100586,15683
182,0,3,1386565.401640000100000,1135929.365509999900000,4141.8398438,15462
183,0,3,1386505.722940000000000,1135799.157440000000000,4125.4101563,15462
184,0,3,1386490.531990000000000,1135668.949370000000000,4117.6899414,15462
185,0,3,1386489.446930000100000,1135568.038110000100000,4109.2700195,15462
186,0,3,1386413.492219999900000,1135432.404700000100000,4104.0000000,15462
187,0,3,1386354.808999999900000,1135335.923530000000000,4099.4599609,15462
188,0,3,1386174.687840000000000,1135270.819500000000000,4089.8701172,15462
189,0,3,1385972.865320000100000,1135199.205060000100000,4082.0000000,15462
190,0,3,1385818.785770000000000,1135086.358060000000000,4079.1699219,15462
191,0,3,1385640.834740000100000,1134917.087570000000000,4059.5300293,15462
192,0,3,1385473.734380000000000,1134749.987209999900000,4047.2800293,15462
193,0,3,1385323.995090000100000,1134643.650609999900000,4023.0800781,15462
194,0,3,1385200.297420000000000,1134567.695899999900000,4007.0500488,15462
195,0,3,1385057.068539999900000,1134543.824420000000000,3987.2399902,15462
196,0,3,1384872.607110000000000,1134545.994560000000000,3968.6799316,15805
197,0,3,1384712.017150000000000,1134526.463350000100000,3965.6599121,15462
198,0,3,1384557.937600000100000,1134506.932139999900000,3962.3701172,15462
199,0,3,1384360.455349999900000,1134426.637159999900000,3937.5300293,15462
200,0,3,1384221.566739999900000,1134315.960299999900000,3932.6599121,15462
201,0,3,1384100.039210000100000,1134174.901550000100000,3926.3400879,15462
202,0,3,1383978.511669999900000,1134001.290790000000000,3928.3999023,15805
203,0,3,1383898.216689999900000,1133823.339750000000000,3931.8999023,15462
204,0,3,1383820.091850000000000,1133643.218589999900000,3925.2099609,15462
205,0,3,1383724.432319999900000,1133454.416879999900000,3907.7600098,15462
206,0,3,1383627.731119999900000,1133315.484870000000000,3924.5600586,15462
207,0,3,1383495.352920000000000,1133231.934690000000000,3926.5900879,15462
208,0,3,1383362.974710000000000,1133148.384510000000000,3934.0900879,15462
209,0,3,1383225.171170000000000,1133085.450609999900000,3938.6599121,15462
210,0,3,1383091.707890000000000,1133048.558320000100000,3955.8601074,15462
211,0,3,1382999.477170000100000,1133034.452439999900000,3962.9899902,15462
